,manhattan,cosine,euclidean,author
"Goethe,-Johann-Wolfgang_Wilhelm Meisters Lehrjahre.txt",2204.48,1.24,67.47,UNBEKANNT.txt
"Hauff,-Wilhelm_Die Bettlerin vom Pont des Arts.txt",2208.0,1.02,69.26,UNBEKANNT.txt
"Schopenhauer,-Johanna_Gabriele.txt",2209.51,1.13,67.54,UNBEKANNT.txt
"Huber,-Therese_Ellen Percy.txt",2210.46,1.09,68.68,UNBEKANNT.txt
"Goethe,-Johann-Wolfgang_Die Leiden des jungen Werther.txt",2215.65,1.09,69.12,UNBEKANNT.txt
"Tieck,-Ludwig_Franz Sternbalds Wanderungen.txt",2251.73,1.15,70.69,UNBEKANNT.txt
"Tieck,-Ludwig_Geschichte des Herrn William Lovell.txt",2280.97,1.2,70.54,UNBEKANNT.txt
"Goethe,-Johann-Wolfgang_Die Wahlverwandtschaften.txt",2303.23,1.22,71.31,UNBEKANNT.txt
"Wieland,-Christoph-Martin_Die Abenteuer des Don Sylvio von Rosalva.txt",2304.65,1.17,72.08,UNBEKANNT.txt
"May,-Karl_Old Surehand I.txt",2316.28,1.05,74.4,UNBEKANNT.txt
"Fischer,-Caroline-Auguste_Margarethe.txt",2436.35,1.11,76.02,UNBEKANNT.txt
"Fischer,-Caroline-Auguste_Gustavs Verirrungen.txt",2463.99,1.03,76.8,UNBEKANNT.txt
"Lewald,-Fanny_Clementine.txt",2488.78,1.19,78.5,UNBEKANNT.txt
"Wieland,-Christoph-Martin_Aristipp und einige seiner Zeitgenossen.txt",2521.53,1.32,76.48,UNBEKANNT.txt
"Fischer,-Caroline-Auguste_Die Honigmonathe.txt",2564.45,1.16,79.54,UNBEKANNT.txt
"Wieland,-Christoph-Martin_Geschichte des Agathon.txt",2695.39,1.28,83.78,UNBEKANNT.txt
"Huber,-Therese_Luise.txt",2703.7,1.18,85.22,UNBEKANNT.txt
