,Unnamed: 0,fp,fn,percentage,delta,corpus,mfw
18,67,0.0033109619686800896,0.005458612975391499,0.68,0.3996000000000001,piperEN,1000
10,64,0.004324324324324324,0.00972972972972973,0.65,0.3385,French,500
6,48,0.002882882882882883,0.003963963963963964,0.49,0.22429999999999994,English,2000
18,68,0.004591611479028698,0.005827814569536424,0.69,0.4367,piperFR,500
26,56,0.002882882882882883,0.003963963963963964,0.57,0.30400000000000005,German,1000
15,56,0.005765765765765766,0.003963963963963964,0.57,0.33819999999999995,Chinese,1000
4,64,0.0024161073825503354,0.002953020134228188,0.65,0.3955000000000001,piperDE,500
